classifier_name,dataset_name,accuracy
9{3},GunPointOldVersusYoung,1
9{3},Ham,0.742857143
9{3},HandOutlines,0.948648649
9{3},Haptics,0.538961039
9{3},Herring,0.703125
9{3},HouseTwenty,0.966386555
9{3},InlineSkate,0.476363636
9{3},InsectEPGRegularTrain,1
9{3},InsectEPGSmallTrain,0.991967871
9{3},InsectWingbeatSound,0.663131313
9{3},ItalyPowerDemand,0.965986395
9{3},LargeKitchenAppliances,0.856
9{3},Lightning2,0.737704918
9{3},Lightning7,0.808219178
9{3},Mallat,0.9445629
9{3},Meat,0.966666667
9{3},MedicalImages,0.794736842
9{3},MelbournePedestrian,0.962689627
9{3},MiddlePhalanxOutlineAgeGroup,0.61038961
9{3},MiddlePhalanxOutlineCorrect,0.841924399
9{3},MiddlePhalanxTW,0.545454545
9{3},MixedShapesRegularTrain,0.972783505
9{3},MixedShapesSmallTrain,0.951752577
9{3},MoteStrain,0.931309904
9{3},NonInvasiveFetalECGThorax1,0.952671756
9{3},NonInvasiveFetalECGThorax2,0.968447837
9{3},OSULeaf,0.950413223
9{3},OliveOil,0.933333333
9{3},PLAID,0.942271881
9{3},PhalangesOutlinesCorrect,0.846153846
9{3},Phoneme,0.28164557
9{3},PickupGestureWiimoteZ,0.86
9{3},PigAirwayPressure,0.855769231
9{3},PigArtPressure,0.985576923
9{3},PigCVP,0.956730769
9{3},Plane,1
9{3},PowerCons,0.988888889
9{3},ProximalPhalanxOutlineAgeGroup,0.853658537
9{3},ProximalPhalanxOutlineCorrect,0.910652921
9{3},ProximalPhalanxTW,0.804878049
9{3},RefrigerationDevices,0.496
9{3},Rock,0.84
9{3},ScreenType,0.48
9{3},SemgHandGenderCh2,0.893333333
9{3},SemgHandMovementCh2,0.693333333
9{3},SemgHandSubjectCh2,0.88
9{3},ShakeGestureWiimoteZ,0.9
9{3},ShapeletSim,1
9{3},ShapesAll,0.918333333
9{3},SmallKitchenAppliances,0.829333333
9{3},SmoothSubspace,0.94
9{3},SonyAIBORobotSurface1,0.896838602
9{3},SonyAIBORobotSurface2,0.907660021
9{3},StarLightCurves,0.980937348
9{3},Strawberry,0.981081081
9{3},SwedishLeaf,0.96
9{3},Symbols,0.983919598
9{3},SyntheticControl,0.983333333
9{3},ToeSegmentation1,0.960526316
9{3},ToeSegmentation2,0.923076923
9{3},Trace,1
9{3},TwoLeadECG,0.998244074
9{3},TwoPatterns,0.99775
9{3},UMD,0.993055556
9{3},UWaveGestureLibraryAll,0.974036851
9{3},UWaveGestureLibraryX,0.852875489
9{3},UWaveGestureLibraryY,0.781965382
9{3},UWaveGestureLibraryZ,0.807091011
9{3},Wafer,0.999188838
9{3},Wine,0.87037037
9{3},WordSynonyms,0.764890282
9{3},Worms,0.766233766
9{3},WormsTwoClass,0.766233766
9{3},Yoga,0.915
9,ACSF1,0.89
9,Adiac,0.833759591
9,AllGestureWiimoteX,0.691428571
9,AllGestureWiimoteY,0.721428571
9,AllGestureWiimoteZ,0.682857143
9,ArrowHead,0.845714286
9,BME,1
9,Beef,0.833333333
9,BeetleFly,0.9
9,BirdChicken,0.9
9,CBF,0.998888889
9,Car,0.916666667
9,Chinatown,0.982507289
9,ChlorineConcentration,0.77109375
9,CinCECGTorso,0.862318841
9,Coffee,1
9,Computers,0.732
